domain1,domain2,domain result,cosine distance
PF00400,PF11422,PF04237,0.29309022426605225
PF00400,PF11460,PF04237,0.2983720004558563
PF00400,PF11465,PF04237,0.2960333228111267
PF00400,PF11498,PF02479,0.2984965443611145
PF00400,PF11510,PF04237,0.29700779914855957
PF00400,PF11542,PF02479,0.29829704761505127
PF00400,PF11555,PF04237,0.2971418499946594
PF00400,PF11556,PF10798,0.2926519513130188
PF00400,PF11558,PF02479,0.29739245772361755
PF00400,PF11567,PF04237,0.2988041639328003
PF00400,PF11614,PF02479,0.29928058385849
PF00400,PF11629,PF02479,0.2967629134654999
PF00400,PF11636,PF10335,0.2920606732368469
PF00400,PF11690,PF04237,0.2968232035636902
PF00400,PF11693,PF12901,0.2988293766975403
PF00400,PF11705,PF13116,0.27465614676475525
PF00400,PF11801,PF10798,0.2959344983100891
PF00400,PF11886,PF07744,0.29917699098587036
PF00400,PF11936,PF15338,0.2961667776107788
PF00400,PF11995,PF02479,0.29878199100494385
PF00400,PF12001,PF10798,0.29875248670578003
PF00400,PF12018,PF10798,0.28445935249328613
PF00400,PF12030,PF11128,0.29961663484573364
PF00400,PF12051,PF04237,0.29455864429473877
PF00400,PF12063,PF02479,0.29746952652931213
PF00400,PF12121,PF13116,0.29825907945632935
PF00400,PF12162,PF02479,0.2828415334224701
PF00400,PF12188,PF02479,0.2911345064640045
PF00400,PF12202,PF07744,0.2987510561943054
PF00400,PF12304,PF04237,0.29901039600372314
PF00400,PF12317,PF04237,0.29070210456848145
PF00400,PF12323,PF04237,0.29415786266326904
PF00400,PF12326,PF12901,0.2907807230949402
PF00400,PF12355,PF04237,0.28185880184173584
PF00400,PF12361,PF10798,0.28951501846313477
PF00400,PF12376,PF02479,0.29599350690841675
PF00400,PF12443,PF02479,0.29900723695755005
PF00400,PF12461,PF04237,0.29981064796447754
PF00400,PF12463,PF13116,0.2831668257713318
PF00400,PF12554,PF04237,0.29785165190696716
PF00400,PF12567,PF02479,0.29147496819496155
PF00400,PF12572,PF02479,0.285183846950531
PF00400,PF12659,PF04237,0.2975432574748993
PF00400,PF12744,PF04237,0.2971634268760681
PF00400,PF12757,PF02479,0.2992190718650818
PF00400,PF12800,PF02479,0.29824167490005493
PF00400,PF13005,PF02479,0.29892057180404663
PF00400,PF13019,PF07744,0.29059165716171265
PF00400,PF13090,PF04237,0.29892605543136597
PF00400,PF13127,PF11128,0.29135605692863464
PF00400,PF13136,PF04237,0.2939539849758148
PF00400,PF13164,PF04237,0.29747825860977173
PF00400,PF13287,PF02479,0.2945573925971985
PF00400,PF13298,PF04237,0.2937684655189514
PF00400,PF13332,PF02479,0.298883855342865
PF00400,PF13371,PF02479,0.2958630919456482
PF00400,PF13388,PF07744,0.29674047231674194
PF00400,PF13436,PF14876,0.29877641797065735
PF00400,PF13438,PF04237,0.2983803153038025
PF00400,PF13559,PF04237,0.2992691993713379
PF00400,PF13746,PF02479,0.29960668087005615
PF00400,PF13823,PF11128,0.29994380474090576
PF00400,PF13842,PF12901,0.2891051471233368
PF00400,PF13846,PF07744,0.29619526863098145
PF00400,PF13924,PF02479,0.2989793121814728
PF00400,PF13954,PF04237,0.2994808256626129
PF00400,PF14047,PF17219,0.2920835614204407
PF00400,PF14232,PF04237,0.2981160879135132
PF00400,PF14342,PF04237,0.29750192165374756
PF00400,PF14578,PF02479,0.2970474660396576
PF00400,PF14596,PF02479,0.29297348856925964
PF00400,PF14615,PF04237,0.2968897819519043
PF00400,PF14654,PF13116,0.2987467646598816
PF00400,PF14667,PF02479,0.2990090847015381
PF00400,PF14775,PF07744,0.29889148473739624
PF00400,PF14817,PF13116,0.29037097096443176
PF00400,PF14822,PF04237,0.2983970046043396
PF00400,PF14847,PF02479,0.29974400997161865
PF00400,PF14856,PF07744,0.2971577048301697
PF00400,PF14877,PF04237,0.2995974123477936
PF00400,PF14917,PF04237,0.29945194721221924
PF00400,PF14923,PF07744,0.2930618226528168
PF00400,PF14942,PF04237,0.2958192825317383
PF00400,PF14948,PF02479,0.287289023399353
PF00400,PF14964,PF04237,0.29996371269226074
PF00400,PF14988,PF04237,0.294769823551178
PF00400,PF15020,PF02479,0.2946474552154541
PF00400,PF15028,PF04237,0.2984927296638489
PF00400,PF15072,PF00963,0.29730692505836487
PF00400,PF15078,PF04237,0.298952579498291
PF00400,PF15086,PF02479,0.28974366188049316
PF00400,PF15110,PF04237,0.28868114948272705
PF00400,PF15112,PF04237,0.2967057228088379
PF00400,PF15120,PF04237,0.2979821264743805
PF00400,PF15151,PF04237,0.29708653688430786
PF00400,PF15183,PF04237,0.29735082387924194
PF00400,PF15248,PF17219,0.29219838976860046
PF00400,PF15261,PF04237,0.29993414878845215
PF00400,PF15262,PF02479,0.28935688734054565
PF00400,PF15265,PF04237,0.29895585775375366
PF00400,PF15304,PF04237,0.29886457324028015
PF00400,PF15310,PF04237,0.2946869432926178
PF00400,PF15327,PF07744,0.2936907410621643
PF00400,PF15331,PF04237,0.2994515895843506
PF00400,PF15337,PF02479,0.2999695837497711
PF00400,PF15352,PF04237,0.2867850363254547
PF00400,PF15363,PF04237,0.29644232988357544
PF00400,PF15369,PF07744,0.2995671033859253
PF00400,PF15371,PF02479,0.29670441150665283
PF00400,PF15386,PF04237,0.2979753613471985
PF00400,PF15450,PF04237,0.29772666096687317
PF00400,PF15451,PF02479,0.2944730818271637
PF00400,PF15453,PF04237,0.2978740632534027
PF00400,PF15479,PF04237,0.2985755205154419
PF00400,PF15558,PF04237,0.2993474304676056
PF00400,PF15696,PF04237,0.2997334897518158
PF00400,PF15720,PF02479,0.29875892400741577
PF00400,PF15734,PF04237,0.2990033030509949
PF00400,PF15742,PF07744,0.2993215322494507
PF00400,PF15743,PF04237,0.29912373423576355
PF00400,PF15751,PF04237,0.2998897433280945
PF00400,PF15764,PF04237,0.2979581952095032
PF00400,PF15767,PF04237,0.29896461963653564
PF00400,PF15773,PF02479,0.29293179512023926
PF00400,PF15774,PF02479,0.2974758744239807
PF00400,PF15783,PF04237,0.29915088415145874
PF00400,PF15794,PF04237,0.2974620461463928
PF00400,PF15816,PF04237,0.2890872061252594
PF00400,PF15820,PF04237,0.29262614250183105
PF00400,PF15821,PF07744,0.2975943684577942
PF00400,PF15829,PF04237,0.299076110124588
PF00400,PF15863,PF04237,0.2965714931488037
PF00400,PF15893,PF10798,0.29821813106536865
PF00400,PF15909,PF04237,0.29397889971733093
PF00400,PF15913,PF04237,0.27947598695755005
PF00400,PF15934,PF04237,0.2999937832355499
PF00400,PF15992,PF04237,0.2973855435848236
PF00400,PF15993,PF10798,0.29951152205467224
PF00400,PF16006,PF04237,0.29133906960487366
PF00400,PF16007,PF04237,0.2924416959285736
